term,pos,term_1,pos_1,tf,Entity,Named entity,entity,parent_class,class,is_amenity,type,selected,,,,
beach,NOUN,costa,NOUN,16,,,beach costa,,,,,no,,,,
euro,NOUN,person,NOUN,16,,,euro person,,,,,no,,,,
km,NOUN,property,NOUN,16,,,km property,,,,,no,,,,
conditioning,NOUN,washing,NOUN,16,,,conditioning washing,,,,,no,,,,
lu,PROPN,impostu,NOUN,16,,,lu impostu,,,,,no,,,,
ocean,NOUN,view,NOUN,16,,,ocean view,,,,,no,,,,
shop,NOUN,bar,NOUN,16,,,shop bar,,,,,no,,,,
bed,NOUN,apartment,NOUN,16,,,bed apartment,,,,,no,,,,
sun,NOUN,terrace,NOUN,16,,,sun terrace,,,,,no,,,,
sea,NOUN,minute,NOUN,16,,,sea minute,,,,,no,,,,
euro,NOUN,day,NOUN,16,,,euro day,,,,,no,,,,
kitchenette,NOUN,dish,NOUN,16,,,kitchenette dish,,,,,no,,,,
linen,NOUN,rental,NOUN,16,X,,linen rental,,,,,no,,,,
charge,NOUN,night,NOUN,16,,,charge night,,,,,no,,,,
collection,NOUN,table,NOUN,16,,,collection table,,,,,no,,,,
table,NOUN,accommodation,NOUN,16,,,table accommodation,,,,,no,,,,
accommodation,NOUN,return,NOUN,16,,,accommodation return,,,,,no,,,,
space,NOUN,people,NOUN,16,,,space people,,,,,no,,,,
beach,NOUN,service,NOUN,15,,,beach service,,,,,no,,,,
pool,NOUN,area,NOUN,15,X,,pool area,,,,,no,,,,
bathroom,NOUN,house,NOUN,15,,,bathroom house,,,,,no,,,,
bedroom,NOUN,house,NOUN,15,,,bedroom house,,,,,no,,,,
apartment,NOUN,complex,NOUN,15,X,,apartment complex,,,,,no,,,,
step,NOUN,sea,NOUN,15,,,step sea,,,,,no,,,,
floor,NOUN,house,NOUN,15,,,floor house,,,,,no,,,,
fi,NOUN,internet,NOUN,15,,,fi internet,,,,,no,,,,
room,NOUN,tv,NOUN,15,,,room tv,,,,,no,,,,
veranda,NOUN,barbecue,NOUN,15,X,,veranda barbecue,,,,,no,,,,
residence,NOUN,swimming,NOUN,15,,,residence swimming,,,,,no,,,,
tv,NOUN,wifi,NOUN,15,,,tv wifi,,,,,no,,,,
holiday,NOUN,village,NOUN,15,,,holiday village,,,,,no,,,,
baja,NOUN,sardinia,NOUN,15,,X,baja sardinia,,,,,no,,,,
gas,NOUN,hob,NOUN,15,,,gas hob,,,,,no,,,,
tourist,NOUN,village,NOUN,15,,,tourist village,,,,,no,,,,
impostu,NOUN,beach,NOUN,15,,,impostu beach,,,,,no,,,,
center,NOUN,porto,PROPN,15,,,center porto,,,,,no,,,,
room,NOUN,bedroom,NOUN,15,,,room bedroom,,,,,no,,,,
fishing,NOUN,village,NOUN,15,,,fishing village,,,,,no,,,,
beach,NOUN,chia,NOUN,15,,,beach chia,,,,,no,,,,
santa,NOUN,margherita,NOUN,15,,,santa margherita,,,,,no,,,,
terrace,NOUN,barbecue,NOUN,15,,,terrace barbecue,,,,,no,,,,
apartment,NOUN,heart,NOUN,15,,,apartment heart,,,,,no,,,,
pet,NOUN,request,NOUN,15,,,pet request,,,,,no,,,,
request,NOUN,week,NOUN,15,,,request week,,,,,no,,,,
deposit,NOUN,customer,NOUN,15,,,deposit customer,,,,,no,,,,
customer,NOUN,care,NOUN,15,,,customer care,,,,,no,,,,
collection,NOUN,waste,NOUN,15,,,collection waste,,,,,no,,,,
waste,NOUN,disposal,NOUN,15,,,waste disposal,,,,,no,,,,
shower,NOUN,toilet,NOUN,15,,,shower toilet,,,,,no,,,,
kitchenette,NOUN,bedroom,NOUN,15,,,kitchenette bedroom,,,,,no,,,,
apartment,NOUN,casa,NOUN,15,,,apartment casa,,,,,no,,,,
mare,NOUN,e,NOUN,15,,,mare e,,,,,no,,,,
